Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
toyota,Raize,"Fácil de conducir, simple de disfrutar",liviano,SUV,,Raize E MT,1.2L (87 HP / 113 NM),"Mixto 18,9 km/l",Manual 5 vel.,87 HP,113 NM,4x2,,,,,,13990000,1500000,,12490000
toyota,Raize,"Fácil de conducir, simple de disfrutar",liviano,SUV,,Raize E CVT,1.2L (87 HP / 113 NM),"Mixto 17,4 km/l",Automática CVT,87 HP,113 NM,4x2,,,,,,15490000,1500000,,13990000
toyota,Nuevo Land Cruiser Prado,"El modelo que buscabas, ahora más cerca que nunca",liviano,SUV,,WX ADVENTURE 2.8,2.8L Turbo Diésel,N/A,Automática,201 HP,500 Nm,4x4,,,,,,66990000,5000000,,61990000
toyota,Nuevo Land Cruiser Prado,"El modelo que buscabas, ahora más cerca que nunca",liviano,SUV,,VX-L 2.8,2.8L Turbo Diésel,N/A,Automática,201 HP,500 Nm,4x4,,,,,,74990000,4000000,,70990000
toyota,All New Rav4,RAV4 como nunca antes,liviano,SUV,,All New Rav4 LE 2.0 4x2 CVT,2.0L,"Mixto 14,3 km/l",Automática CVT,170 HP,203 NM,4x2,,,,,,27990000,1000000,,26990000
toyota,All New Rav4,RAV4 como nunca antes,liviano,SUV,,All New Rav4 XLE 2.0 4x2 CVT,2.0L,"Mixto 14,3 km/l",Automática CVT,170 HP,203 NM,4x2,,,,,,31490000,2500000,,28990000
toyota,All New Rav4,RAV4 como nunca antes,liviano,SUV,,All New Rav4 ADVENTURE 2.0 4x4 CVT,2.0L,"Mixto 13,8 km/l",Automática CVT,170 HP,203 NM,4x4,,,,,,36990000,2000000,,34990000
toyota,Fortuner,"El modelo que buscabas, ahora más cerca que nunca",liviano,SUV,,SR5 4x4 MT TDI 2.8L Diesel,2.8L Turbo Diésel,"Mixto 12,0 km/l",Manual 6 vel.,201 HP,420 Nm,4x4,,,,,,39490000,1000000,,38490000
toyota,Fortuner,"El modelo que buscabas, ahora más cerca que nunca",liviano,SUV,,Diamond 4x4 AT TDI 2.8L Diesel,2.8L Turbo Diésel,"Mixto 12,0 km/l",Automática 6 vel.,201 HP,500 Nm,4x4,,,,,,46490000,1000000,,45490000
toyota,New Yaris Sedán,"El modelo que buscabas, ahora más cerca que nunca",liviano,Sedán,,New Yaris Sedán i MT,1.5L (105 HP / 138 NM),"Mixto 16,9 km/l",Manual 5 vel.,105 HP,138 NM,4x2,,,,,,13990000,1000000,,12990000
toyota,New Yaris Sedán,"El modelo que buscabas, ahora más cerca que nunca",liviano,Sedán,,New Yaris Sedán E MT,1.5L (105 HP / 138 NM),"Mixto 16,9 km/l",Manual 5 vel.,105 HP,138 NM,4x2,,,,,,15490000,1000000,,14490000
toyota,New Yaris Sedán,"El modelo que buscabas, ahora más cerca que nunca",liviano,Sedán,,New Yaris Sedán E CVT,1.5L (105 HP / 138 NM),"Mixto 16,2 km/l",Automática CVT,105 HP,138 NM,4x2,,,,,,16990000,1000000,,15990000
volkswagen,Nuevo GLI,El indomable de la familia,liviano,Sedán,,Nuevo Jetta 2.0 TSI AT GLI,2.0 TSI,"Mixto 13,3 km/L",AT DSG 7 Velocidades,230 HP,350 Nm,4x2,,,,,,30990000,2000000,,28990000
volkswagen,Nuevo Tera,El nuevo ícono para tu nueva era,liviano,SUV,,Nuevo Tera Trend MT,1.6 MSI,No especificado,Manual 5 Vel.,110 HP,155 Nm,4x2,,,,,,16590000,1800000,,14790000
volkswagen,Nuevo Tera,El nuevo ícono para tu nueva era,liviano,SUV,,Nuevo Tera Comfort MT,1.6 MSI,No especificado,Manual 5 Vel.,110 HP,155 Nm,4x2,,,,,,17490000,1800000,,15690000
volkswagen,Nuevo Tera,El nuevo ícono para tu nueva era,liviano,SUV,,Nuevo Tera Comfort AT,1.0 TSI,No especificado,Automática 6 Vel.,109 HP,170 Nm,4x2,,,,,,18990000,1800000,,17190000
volkswagen,Nuevo Tera,El nuevo ícono para tu nueva era,liviano,SUV,,Nuevo Tera High AT,1.0 TSI AT,No especificado,Automática 6 Vel.,109 HP,170 Nm,4x2,,,,,,20690000,1800000,,18890000
