Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
Audi,Nuevo Q5,Fuera de la vista. Aún en la mente.,liviano,SUV,SÍ,Q5 45 TFSI S line,2.0 TFSI,Gasolina,DCT / DSG,249 HP,370 Nm,AWD,8.5 l/100km,,,,,74390000,14290000,1150000,58950000
Audi,Nuevo Q5,Fuera de la vista. Aún en la mente.,liviano,SUV,SÍ,New Q5 TFSI quattro,2.0 TFSI,Gasolina,DCT / DSG,204 HP,370 Nm,AWD,8.5 l/100km,,,,,56700000,2000000,1450000,53250000
Audi,Nuevo Q5,Fuera de la vista. Aún en la mente.,liviano,SUV,SÍ,New Q5 TFSI quattro S line,2.0 TFSI,Gasolina,DCT / DSG,204 HP,370 Nm,AWD,8.5 l/100km,,,,,63700000,2000000,1450000,60250000
Audi,Nuevo SQ5,Un cumplido a la carretera.,liviano,SUV,SÍ,New SQ5 TFSI quattro,3.0 TFSI,Gasolina,DCT / DSG,367 HP,550 Nm,AWD,10.0 l/100km,,,,,83700000,2000000,1450000,80250000
Audi,Nuevo Q5 Sportback,Impresionante en cada momento.,liviano,SUV,SÍ,New Q5 Sportback TFSI quattro,2.0 TFSI,Gasolina,DCT / DSG,204 HP,370 Nm,AWD,8.2 l/100km,,,,,59200000,2000000,1450000,55750000
Audi,Nuevo Q5 Sportback,Impresionante en cada momento.,liviano,SUV,SÍ,New Q5 Sportback TFSI quattro S line,2.0 TFSI,Gasolina,DCT / DSG,204 HP,370 Nm,AWD,8.2 l/100km,,,,,66200000,2000000,1450000,62750000
Audi,Q6 e-tron,Eléctrico y con increíbles detalles.,liviano,"SUV, Eléctrico",SÍ,Q6 e-tron 45,Motor Eléctrico,Eléctrico,Automática,252 HP,485 Nm,4x2,18.0 kWh/100km,625 km,,,,75990000,1090000,1150000,73750000
Audi,Q6 e-tron,Eléctrico y con increíbles detalles.,liviano,"SUV, Eléctrico",SÍ,Q6 e-tron 50 S line,Motor Eléctrico,Eléctrico,Automática,306 HP,535 Nm,4x2,18.0 kWh/100km,625 km,,,,85990000,1090000,1150000,83750000
Audi,Q6 e-tron,Eléctrico y con increíbles detalles.,liviano,"SUV, Eléctrico",SÍ,Q6 e-tron 55 quattro S line,Motores Eléctricos,Eléctrico,Automática,388 HP,650 Nm,AWD,19.0 kWh/100km,640 km,,,,92990000,1090000,1150000,90750000
Audi,Q6 Sportback e-tron,Transforma la energía en entusiasmo. This is Audi.,liviano,"SUV, Eléctrico",SÍ,Q6 Sportback e-tron 50 S line,Motor Eléctrico,Eléctrico,Automática,306 HP,535 Nm,4x2,17.5 kWh/100km,656 km,,,,88490000,1090000,1150000,86250000
