Marca,Modelo,Version,Precio Lista,Bono Marca,Bono Financiamiento,Precio Financiamiento,Tipo,Categoria,Incluye IVA,Motor CC,Combustible,Transmision,Airbags,Traccion,Rendimiento Mixto,Autonomia KM,Potencia Hp,Torque Nm
MINI,JCW Aceman,JCW E,"$48,990,000",$0,"$2,000,000","$46,990,000",liviano,John Cooper Works,SÍ,Eléctrico,Eléctrico,Automática,,4x2,"16,4 kWh/100km",355 km,258 HP,350 Nm
MINI,JCW Cabrio,SPITFIRE CABRIO 2.0,"$47,990,000",$0,"$1,500,000","$46,490,000",liviano,"Convertible, John Cooper Works",SÍ,2.0L,Gasolina,Automática,,4x2,"14,7 km/l",-,231 HP,380 Nm
MINI,JCW Cabrio,CABRIO 2.0,"$50,990,000",$0,"$1,500,000","$49,490,000",liviano,"Convertible, John Cooper Works",SÍ,2.0L,Gasolina,Automática,,4x2,"14,7 km/l",-,231 HP,380 Nm
MINI,JCW Countryman ALL4,JCW ALL4 2.0,"$54,990,000",$0,"$1,500,000","$53,490,000",liviano,John Cooper Works,SÍ,2.0L,Gasolina,Automática,,AWD,"12,8 km/l",-,300 HP,400 Nm
MINI,JCW Eléctrico,E HEA,"$46,990,000",$0,"$3,500,000","$43,490,000",liviano,"John Cooper Works, Eléctrico",SÍ,Eléctrico,Eléctrico,Automática,,4x2,"6,3 km/kWh",-,258 HP,350 Nm
MINI,JCW Eléctrico,E,"$47,990,000",$0,"$2,000,000","$45,990,000",liviano,"John Cooper Works, Eléctrico",SÍ,Eléctrico,Eléctrico,Automática,,4x2,"6,3 km/kWh",-,258 HP,350 Nm
Soueast,S06,1.5T 6DCT LUX,"$17,990,000","$2,000,000","$1,000,000","$14,990,000",liviano,SUV,SÍ,1.5L,Gasolina,Automática,,4x2,-,-,154 HP,-
Soueast,S06,1.6T 7DCT LUX,"$18,990,000","$2,000,000","$1,000,000","$15,990,000",liviano,SUV,SÍ,1.6L,Gasolina,Automática,,4x2,-,-,194 HP,-
Soueast,S06,1.6T 7DCT LIMITED,"$20,490,000","$2,000,000","$1,000,000","$17,490,000",liviano,SUV,SÍ,1.6L,Gasolina,Automática,,4x2,-,-,194 HP,-
Soueast,S06 PHEV,LIMITED,"$26,990,000","$3,000,000","$2,000,000","$21,990,000",liviano,"SUV, Híbrido",SÍ,1.5L PHEV,Híbrido,Automática,,4x2,-,1140 km,355 HP,-
Soueast,S07,1.5T 6DCT,"$17,990,000","$1,000,000","$1,000,000","$15,990,000",liviano,SUV,SÍ,1.5L,Gasolina,Automática,,4x2,-,-,154 HP,-
Soueast,S07,1.6T 7DCT,"$19,490,000","$1,000,000","$1,000,000","$17,490,000",liviano,SUV,SÍ,1.6L,Gasolina,Automática,,4x2,-,-,194 HP,-
Soueast,S09,2.0T 7DCT,"$25,990,000","$1,500,000","$1,500,000","$22,990,000",liviano,SUV,SÍ,2.0L,Gasolina,Automática,,4x2,-,-,255 HP,-
Toyota,4Runner,SR5 2.4 TA 4X4,"$52,990,000",$0,"$500,000","$52,490,000",liviano,SUV,SÍ,2.4L,Gasolina,Automática,8,4x4,-,-,-,-
Toyota,4Runner,SR5 2.4 TA 4X4,"$52,990,000","$1,000,000","$500,000","$51,490,000",liviano,SUV,SÍ,2.4L,Gasolina,Automática,8,4x4,"9,3 km/l",-,-,-
Toyota,4Runner,Limited 2.4 TA 4X4,"$58,990,000","$1,000,000","$500,000","$57,490,000",liviano,SUV,SÍ,2.4L,Gasolina,Automática,8,4x4,"9,3 km/l",-,-,-
Toyota,bZ4X,LIMITED 4X2,"$44,990,000",$0,"$3,000,000","$41,990,000",liviano,"SUV, Eléctrico",SÍ,Eléctrico,Eléctrico,Automática,8,4x2,-,478 km,221 HP,269 Nm
Toyota,bZ4X,LIMITED AWD,"$49,990,000",$0,"$3,000,000","$46,990,000",liviano,"SUV, Eléctrico",SÍ,Eléctrico,Eléctrico,Automática,8,AWD,-,453 km,338 HP,338 Nm
Toyota,Corolla Cross Híbrido,1.8 XEI CVT HV,"$27,990,000","$2,000,000","$500,000","$25,490,000",liviano,"SUV, Híbrido",SÍ,1.8L Híbrido,Híbrido,Automática,7,4x2,"23,3 km/l",-,122 HP,-
Toyota,Corolla Cross Híbrido,1.8 SEG CVT HV,"$29,990,000",$0,$0,"$29,990,000",liviano,"SUV, Híbrido",SÍ,1.8L Híbrido,Híbrido,Automática,7,4x2,"23,3 km/l",-,122 HP,-
Toyota,Corolla Sedan Híbrido,XLI 1.8 eCVT Híbrido,"$24,790,000","$900,000","$600,000","$23,290,000",liviano,"Sedán, Híbrido",SÍ,1.8L Híbrido,Híbrido,Automática,7,4x2,"22,6 km/l",-,122 HP,142 Nm
Toyota,Corolla Sedan Híbrido,XEI 1.8 eCVT Híbrido,"$25,990,000","$200,000","$500,000","$25,290,000",liviano,"Sedán, Híbrido",SÍ,1.8L Híbrido,Híbrido,Automática,7,4x2,"22,6 km/l",-,122 HP,142 Nm
Toyota,Corolla Sedan Híbrido,XEI 1.8 eCVT Híbrido,"$25,790,000","$200,000","$500,000","$25,090,000",liviano,"Sedán, Híbrido",SÍ,1.8L Híbrido,Híbrido,Automática,7,4x2,"22,6 km/l",-,122 HP,142 Nm
Toyota,Corolla Sedan Híbrido,XEI 1.8 eCVT Híbrido,"$25,790,000","$400,000","$500,000","$24,890,000",liviano,"Sedán, Híbrido",SÍ,1.8L Híbrido,Híbrido,Automática,7,4x2,"22,6 km/l",-,122 HP,142 Nm
Toyota,Corolla Sedan Híbrido,SEG 1.8 eCVT Híbrido,"$28,290,000","$500,000","$725,000","$27,065,000",liviano,"Sedán, Híbrido",SÍ,1.8L Híbrido,Híbrido,Automática,7,4x2,"22,6 km/l",-,122 HP,142 Nm
Toyota,Corolla Sedan Híbrido,SEG 1.8 eCVT Híbrido,"$28,490,000","$500,000","$725,000","$27,265,000",liviano,"Sedán, Híbrido",SÍ,1.8L Híbrido,Híbrido,Automática,7,4x2,"22,6 km/l",-,122 HP,142 Nm
Toyota,Fortuner,SR5 4x4 AT TDI 2.8L Diesel,"$44,390,000","$1,000,000","$1,000,000","$42,390,000",liviano,SUV,SÍ,2.8L,Diésel,Automática,7,4x4,"13,1 km/l",-,201 HP,420 Nm
Toyota,Fortuner,SRX 4x4 AT TDI 2.8L Diesel,"$50,890,000","$1,300,000","$1,000,000","$48,590,000",liviano,SUV,SÍ,2.8L,Diésel,Automática,7,4x4,"13,1 km/l",-,201 HP,500 Nm
Toyota,Fortuner,SRX 4x4 AT TDI 2.8L Diesel,"$51,090,000","$1,000,000","$1,000,000","$49,090,000",liviano,SUV,SÍ,2.8L,Diésel,Automática,7,4x4,"13,1 km/l",-,201 HP,500 Nm
